index,descriptors,relative_frequency
"Bordeaux-style Red Blend, Libournais, Bordeaux, France",gravel,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",hay,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",savory,0.01
"Red Blends, Red Blends, Cachapoal Valley, Central Valley, Chile",perfumed,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",red_currant,0.00
"Cabernet Sauvignon, Clear Lake, North Coast, California",herbacious,0.01
"Red Blends, Red Blends, Tuscany, Central Italy, Italy",blueberry,0.00
"Sagrantino, Italian Red, Umbria, Central Italy, Italy",eucalyptus,0.01
"Malbec, Mendoza, Argentina",minerality,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",orange_blossom,0.00
"Syrah, Columbia Valley, Oregon, USA",raspberry,0.01
"White Blend, Veneto, Northeast Italy, Italy",lime,0.01
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",wood,0.01
"Cabernet Sauvignon, Inland Valleys, California, USA",pepper,0.01
"Red Blends, Red Blends, Sierra Foothills, California, USA",sage,0.01
"White Blend, Columbia Valley, Washington, USA",cut_grass,0.01
"Chardonnay, Mendocino, North Coast, California, USA",yeast,0.00
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",dr_pepper,0.02
"Red Blends, Red Blends, Coastal Region, South Africa",kirsch,0.01
"Cabernet Franc, Finger Lakes, New York, USA",pollen,0.00
"Red Blends, Red Blends, Mendoza, Argentina",cola,0.01
"Syrah, Northern Rhone, Rhone Valley, France",cured_meat,0.01
"Chardonnay, Napa Valley, North Coast, California, USA",minerality,0.01
"Red Blends, Red Blends, South Australia, Australia",flower,0.01
"Chardonnay, Willamette Valley, Oregon, USA",candy,0.00
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",licorice,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",metal,0.00
"Cabernet Franc, Long Island, New York, USA",pulpy,0.01
"Malbec, Salta, Argentina",molasses,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",chocolate,0.00
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",sage,0.01
"Malbec, Southwest France, France",prune,0.00
"Pinot Noir, Mendocino, North Coast, California, USA",stemmy,0.00
"Red Blends, Red Blends, Sonoma Valley, North Coast, California, USA",chocolate,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",flint,0.01
"Merlot, Long Island, New York, USA",pastry,0.01
"Tempranillo, Columbia Valley, Washington, USA",raspberry,0.01
"Syrah, Columbia Valley, Washington, USA",strawberry,0.01
"Chardonnay, Mendoza, Argentina",chalk,0.01
"Syrah, Coastal Region, South Africa",milk_chocolate,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",licorice,0.00
"Petite Sirah, Napa Valley, North Coast, California, USA",bacon,0.01
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",maple,0.02
"Sauvignon Blanc, Clear Lake, North Coast, California",wet_rocks,0.01
"Riesling, Nahe, Germany",herb,0.01
"Tinto Fino, Tempranillo, Castilla and Leon, Northwest Spain, Spain",raisin_prune,0.01
"Pinot Grigio, Alsace, France",quince,0.00
"Grenache, South Australia, Australia",raisin,0.01
"Bordeaux-style Red Blend, Medoc, Bordeaux, France",vanilla,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",fruit,0.01
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",perfumed,0.01
"Bordeaux-style Red Blend, Mendoza, Argentina",tobacco,0.01
"Bordeaux-style Red Blend, Coastal Region, South Africa",wax,0.01
"Malbec, Colchagua Valley, Central Valley, Chile",minerality,0.01
"Pinot Grigio, Friuli-Venezia Giulia, Northeast Italy, Italy",spice,0.01
"Syrah, Sonoma Valley, North Coast, California, USA",tobacco,0.01
"Nebbiolo, Piedmont, Northwest Italy, Italy",savory,0.00
"Red Blends, Red Blends, La Rioja, Northeast Spain, Spain",mulch,0.01
"Red Blends, Red Blends, Umbria, Central Italy, Italy",molasses,0.01
"Pinot Noir, Monterey, Central Coast, California, USA",vanilla,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",blackcurrant,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",medicinal,0.01
"Sauvignon Blanc, Centre, Loire Valley, France",juicy,0.00
"Pinot Noir, Southern Oregon, Oregon, USA",rose,0.01
"Montepulciano, Italian Red, Abruzzo, Central Italy, Italy",cassis,0.01
"Riesling, Mosel, Germany",lactic,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",orange,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",savory,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",mineral,0.00
"Cabernet Sauvignon, Mendoza, Argentina",citrus,0.01
"Merlot, Maule Valley, Central Valley, Chile",wild_berry,0.01
"Malbec, Columbia Valley, Washington, USA",stone,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",concrete,0.01
"Chardonnay, Inland Valleys, California, USA",spice,0.01
"Merlot, Columbia Valley, Washington, USA",red_currant,0.00
"Sauvignon Blanc, Friuli-Venezia Giulia, Northeast Italy, Italy",herbs,0.01
"Cabernet Sauvignon, South Australia, Australia",inky,0.00
"Riesling, Finger Lakes, New York, USA",lemon_peel,0.01
"Grenache, Columbia Valley, Washington, USA",sappy,0.01
"Tempranillo, Southern Oregon, Oregon, USA",unripe,0.01
"Red Blends, Red Blends, Castilla-La Mancha, Central Spain, Spain",olive,0.01
"Chardonnay, Champagne, France",lemon_peel,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",berry,0.01
"Riesling, Columbia Valley, Washington, USA",melon,0.00
"Riesling, South Australia, Australia",ginger,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",game,0.01
"Red Blends, Red Blends, Valencia, Northeast Spain, Spain",roasted_meat,0.01
"Syrah, Sierra Foothills, California, USA",lavender,0.01
"Syrah, Paso Robles, Central Coast, California, USA",candy,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",flower,0.01
"Chardonnay, Burgenland, Austria",melon,0.01
"Sangiovese, Columbia Valley, Washington, USA",watermelon,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",salinity,0.01
"Sauvignon Blanc, Marlborough, New Zealand",fig,0.01
"White Blend, Burgenland, Austria",almond,0.01
"Zinfandel, Sierra Foothills, California, USA",licorice,0.00
"Riesling, Rheingau, Germany",plum,0.00
"Cabernet Franc, Napa Valley, North Coast, California, USA",milk_chocolate,0.01
"Pinot Noir, Marlborough, New Zealand",cake,0.00
"Cabernet Sauvignon, Western Australia, Australia",barnyard,0.01
"Gruner Veltliner, Niederosterreich, Austria",super_ripe,0.00
"Pinot Noir, Central Otago, New Zealand",rosemary,0.00
"Pinot Noir, Finger Lakes, New York, USA",cooked,0.01
"White Blend, Friuli-Venezia Giulia, Northeast Italy, Italy",lemon,0.01
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",corn,0.01
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",thyme,0.01
"Chardonnay, Columbia Valley, Washington, USA",lemon_curd,0.00
"Tempranillo, Castilla-La Mancha, Central Spain, Spain",wet_rocks,0.01
"Pinot Noir, Alsace, France",elderberry,0.00
"Red Blends, Red Blends, Maipo Valley, Central Valley, Chile",hickory,0.01
"Tempranillo Blend, Tempranillo, Castilla and Leon, Northwest Spain, Spain",tobacco,0.01
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",berry,0.01
"Pinot Noir, Cote de Beaune, Burgundy, France",watermelon,0.00
"Bordeaux-style Red Blend, Southwest France, France",super_ripe,0.00
"Red Blends, Red Blends, Southwest France, France",red_fruit,0.00
"Syrah, Santa Barbara, Central Coast, California, USA",gravel,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",oil,0.01
"Red Blends, Red Blends, Paso Robles, Central Coast, California, USA",cassis,0.01
"Pinot Grigio, Marlborough, New Zealand",nut,0.01
"Gamay, Beaujolais, France",super_ripe,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",yeast,0.01
"Chardonnay, Colchagua Valley, Central Valley, Chile",butterscotch,0.01
"Zinfandel, Mendocino, North Coast, California, USA",herb,0.01
"Syrah, South Australia, Australia",french_oak,0.01
"Pinot Noir, Sonoma Valley, North Coast, California, USA",blackberry,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",cheese,0.01
"Merlot, Mendoza, Argentina",medicinal,0.01
"Red Blends, Red Blends, South Coast, California, USA",dust,0.01
"Glera, Italian White, Veneto, Northeast Italy, Italy",toast,0.00
"Red Blends, Red Blends, Colchagua Valley, Central Valley, Chile",prune,0.00
"Grenache, Aragon, Northeast Spain, Spain",funky,0.01
"Nerello Mascalese, Italian Red, Sicily, Southern Italy, Italy",spice,0.01
"Sauvignon Blanc, Coastal Region, South Africa",honeysuckle,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",honeycomb,0.00
"Riesling, Rheinhessen, Germany",cataloupe,0.01
"White Blend, La Rioja, Northeast Spain, Spain",toffee,0.01
"Merlot, Sonoma Valley, North Coast, California, USA",cassis,0.01
"Pinot Noir, Mendoza, Argentina",medicinal,0.01
"Chardonnay, Long Island, New York, USA",chamomile,0.00
"White Blend, Sicily, Southern Italy, Italy",lemon_drop,0.01
"Red Blends, Red Blends, Castilla and Leon, Northwest Spain, Spain",sweat,0.01
"Grenache, Navarra, Northeast Spain, Spain",red_fruit,0.01
"White Blend, Tuscany, Central Italy, Italy",toasted_almond,0.01
"Chardonnay, Finger Lakes, New York, USA",coconut,0.00
"Grenache, Santa Barbara, Central Coast, California, USA",funky,0.01
"Riesling, Pfalz, Germany",caramel,0.00
"Red Blends, Red Blends, Murcia, Northeast Spain, Spain",coconut,0.01
"Viognier, Santa Barbara, Central Coast, California, USA",grapefruit,0.01
"Cabernet Franc, Mendoza, Argentina",root,0.01
"Sauvignon Blanc, Steiermark, Austria",corn,0.01
"Red Blends, Red Blends, Veneto, Northeast Italy, Italy",coffee,0.00
"Red Blends, Red Blends, Navarra, Northeast Spain, Spain",apple,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",spice,0.01
"White Blend, Catalunya, Northeast Spain, Spain",beeswax,0.01
"Bordeaux-style Red Blend, Virginia, USA",oil,0.01
"Chardonnay, Monterey, Central Coast, California, USA",lime_pith,0.01
"Chardonnay, Western Australia, Australia",pie,0.01
"Riesling, Willamette Valley, Oregon, USA",citrus_peel,0.00
"Red Blends, Red Blends, Catalunya, Northeast Spain, Spain",lactic,0.00
"Bordeaux-style Red Blend, Graves, Bordeaux, France",blackberry_jam,0.00
"Merlot, Maipo Valley, Central Valley, Chile",forest_floor,0.01
"Red Blends, Red Blends, Aragon, Northeast Spain, Spain",juicy,0.01
"Chardonnay, Chablis, Burgundy, France",sulfur,0.00
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",tangerine,0.01
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",banana,0.01
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",thyme,0.01
"Tinto del Pais, Tempranillo, Castilla and Leon, Northwest Spain, Spain",red_fruit,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",blackcurrant,0.01
"Syrah, Maipo Valley, Central Valley, Chile",bacon,0.01
"Pinot Noir, Wairarapa, New Zealand",sappy,0.01
"Merlot, Napa Valley, North Coast, California, USA",cedar,0.01
"Riesling, Niederosterreich, Austria",savory,0.01
"Riesling, Alsace, France",tree_fruit,0.01
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",prune,0.01
"Red Blends, Red Blends, Sicily, Southern Italy, Italy",pepper,0.01
"Zinfandel, Inland Valleys, California, USA",flint,0.00
"Chardonnay, Victoria, Australia",graphite,0.01
"Aglianico, Italian Red, Campania, Southern Italy, Italy",inky,0.00
"Syrah, Victoria, Australia",juicy,0.01
"Chardonnay, South Australia, Australia",butter_popcorn,0.00
"Sauvignon Blanc, Mendoza, Argentina",oak-driven,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",ripe,0.01
"Red Blends, Red Blends, Southern Oregon, Oregon, USA",grapey,0.01
"Sangiovese, Tuscany, Central Italy, Italy",soil,0.00
"Red Blends, Red Blends, Napa Valley, North Coast, California, USA",black_currant,0.00
"Malbec, Patagonia, Argentina",charcoal,0.01
"Tinta de Toro, Tempranillo, Castilla and Leon, Northwest Spain, Spain",raspberry,0.01
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",berry,0.01
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",savory,0.01
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",toast,0.01
"Pinot Grigio, Columbia Valley, Washington, USA",sappy,0.00
"Tempranillo Blend, Tempranillo, La Rioja, Northeast Spain, Spain",minerality,0.01
"Tempranillo, La Rioja, Northeast Spain, Spain",juicy,0.01
"Pinot Noir, Cote de Nuits, Burgundy, France",chalk,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",funky,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",wild_berry,0.00
"Viognier, Columbia Valley, Washington, USA",rose,0.01
"Red Blends, Red Blends, Columbia Valley, Washington, USA",candy,0.00
"Garganega, Italian White, Veneto, Northeast Italy, Italy",grapefruit,0.01
"Chardonnay, Coastal Region, South Africa",allspice,0.01
"Chardonnay, Maconnais, Burgundy, France",plum,0.00
"Petite Sirah, Sierra Foothills, California, USA",jam,0.01
"Nero dAvola, Italian Red, Sicily, Southern Italy, Italy",sulfur,0.00
"Merlot, Paso Robles, Central Coast, California, USA",prune,0.01
"Syrah, Mendoza, Argentina",clove,0.01
"Bordeaux-style Red Blend, Bourg & Blaye, Bordeaux, France",gravel,0.00
"Nebbiolo, Lombardy, Northwest Italy, Italy",mint,0.01
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",red_currant,0.01
"Zinfandel, Paso Robles, Central Coast, California, USA",loamy,0.00
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",feral,0.01
"Syrah, Western Australia, Australia",dust,0.01
"Syrah, Southern Oregon, Oregon, USA",boysenberry,0.01
"Chardonnay, Cote de Beaune, Burgundy, France",mineral,0.00
"Turbiana, Italian White, Lombardy, Northwest Italy, Italy",hay,0.01
"Bordeaux-style Red Blend, Libournais, Bordeaux, France",chalk,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",lime,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",baked_bread,0.01
"Red Blends, Red Blends, Cachapoal Valley, Central Valley, Chile",menthol,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",vanilla,0.00
"Cabernet Sauvignon, Clear Lake, North Coast, California",jam,0.01
"Red Blends, Red Blends, Tuscany, Central Italy, Italy",vanilla,0.00
"Sagrantino, Italian Red, Umbria, Central Italy, Italy",medicinal,0.01
"Malbec, Mendoza, Argentina",dust,0.00
"Chardonnay, Sonoma Valley, North Coast, California, USA",savory,0.00
"Syrah, Columbia Valley, Oregon, USA",leather,0.01
"White Blend, Veneto, Northeast Italy, Italy",plum,0.01
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",juniper,0.01
"Cabernet Sauvignon, Inland Valleys, California, USA",cranberry,0.01
"Red Blends, Red Blends, Sierra Foothills, California, USA",bay_leaf,0.01
"White Blend, Columbia Valley, Washington, USA",candy,0.01
"Chardonnay, Mendocino, North Coast, California, USA",nut,0.00
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",chocolate,0.02
"Red Blends, Red Blends, Coastal Region, South Africa",perfumed,0.01
"Cabernet Franc, Finger Lakes, New York, USA",dill,0.00
"Red Blends, Red Blends, Mendoza, Argentina",lactic,0.01
"Syrah, Northern Rhone, Rhone Valley, France",cassis,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",funky,0.01
"Red Blends, Red Blends, South Australia, Australia",mint,0.01
"Chardonnay, Willamette Valley, Oregon, USA",lemon_verbena,0.00
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",chocolate,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",minerality,0.00
"Cabernet Franc, Long Island, New York, USA",coffee,0.01
"Malbec, Salta, Argentina",rhubarb,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",wood,0.00
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",tar,0.01
"Malbec, Southwest France, France",inky,0.00
"Pinot Noir, Mendocino, North Coast, California, USA",baked_bread,0.00
"Red Blends, Red Blends, Sonoma Valley, North Coast, California, USA",cranberry,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",lychee,0.01
"Merlot, Long Island, New York, USA",cedar,0.01
"Tempranillo, Columbia Valley, Washington, USA",incense,0.01
"Syrah, Columbia Valley, Washington, USA",bramble,0.01
"Chardonnay, Mendoza, Argentina",caramel,0.01
"Syrah, Coastal Region, South Africa",gravel,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",blueberry,0.00
"Petite Sirah, Napa Valley, North Coast, California, USA",blueberry,0.01
"Sauvignon Blanc, Clear Lake, North Coast, California",stone,0.01
"Riesling, Nahe, Germany",pineapple,0.01
"Tinto Fino, Tempranillo, Castilla and Leon, Northwest Spain, Spain",spice,0.01
"Pinot Grigio, Alsace, France",tree_fruit,0.00
"Grenache, South Australia, Australia",soil,0.01
"Bordeaux-style Red Blend, Medoc, Bordeaux, France",soil,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",vanilla,0.01
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",tangerine,0.01
"Bordeaux-style Red Blend, Mendoza, Argentina",candy,0.01
"Bordeaux-style Red Blend, Coastal Region, South Africa",fruit-forward,0.01
"Malbec, Colchagua Valley, Central Valley, Chile",licorice,0.01
"Pinot Grigio, Friuli-Venezia Giulia, Northeast Italy, Italy",lime,0.01
"Syrah, Sonoma Valley, North Coast, California, USA",grapefruit,0.01
"Nebbiolo, Piedmont, Northwest Italy, Italy",stewed_prune,0.00
"Red Blends, Red Blends, La Rioja, Northeast Spain, Spain",raisin_prune,0.01
"Red Blends, Red Blends, Umbria, Central Italy, Italy",mustard,0.01
"Pinot Noir, Monterey, Central Coast, California, USA",sage,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",rocky,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",leather,0.01
"Sauvignon Blanc, Centre, Loire Valley, France",dust,0.00
"Pinot Noir, Southern Oregon, Oregon, USA",tree_bark,0.01
"Montepulciano, Italian Red, Abruzzo, Central Italy, Italy",stewed_prune,0.01
"Riesling, Mosel, Germany",honeysuckle,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",tropical_fruit,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",milk_chocolate,0.00
"Pinot Grigio, Willamette Valley, Oregon, USA",celery,0.00
"Cabernet Sauvignon, Mendoza, Argentina",coconut,0.01
"Merlot, Maule Valley, Central Valley, Chile",olive,0.01
"Malbec, Columbia Valley, Washington, USA",reductive,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",matchstick,0.01
"Chardonnay, Inland Valleys, California, USA",jasmine,0.01
"Merlot, Columbia Valley, Washington, USA",tobacco,0.00
"Sauvignon Blanc, Friuli-Venezia Giulia, Northeast Italy, Italy",steel,0.01
"Cabernet Sauvignon, South Australia, Australia",meat,0.00
"Riesling, Finger Lakes, New York, USA",wildflower,0.01
"Grenache, Columbia Valley, Washington, USA",smoke,0.01
"Tempranillo, Southern Oregon, Oregon, USA",american_oak,0.01
"Red Blends, Red Blends, Castilla-La Mancha, Central Spain, Spain",sappy,0.01
"Chardonnay, Champagne, France",cinnamon,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",coconut,0.01
"Riesling, Columbia Valley, Washington, USA",sappy,0.00
"Riesling, South Australia, Australia",orange_marmalade,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",herbacious,0.01
"Red Blends, Red Blends, Valencia, Northeast Spain, Spain",candy,0.01
"Syrah, Sierra Foothills, California, USA",charcoal,0.01
"Syrah, Paso Robles, Central Coast, California, USA",perfumed,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",rhubarb,0.01
"Sangiovese, Columbia Valley, Washington, USA",cocoa,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",berry,0.01
"Sauvignon Blanc, Marlborough, New Zealand",cut_grass,0.01
"White Blend, Burgenland, Austria",stone_fruit,0.01
"Zinfandel, Sierra Foothills, California, USA",herb,0.00
"Riesling, Rheingau, Germany",lime_pith,0.00
"Cabernet Franc, Napa Valley, North Coast, California, USA",inky,0.01
"Pinot Noir, Marlborough, New Zealand",spice,0.00
"Cabernet Sauvignon, Western Australia, Australia",pepper,0.01
"Gruner Veltliner, Niederosterreich, Austria",celery,0.00
"Pinot Noir, Central Otago, New Zealand",super_ripe,0.00
"Pinot Noir, Finger Lakes, New York, USA",musky,0.01
"White Blend, Friuli-Venezia Giulia, Northeast Italy, Italy",lemon_drop,0.01
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",wood,0.01
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",roasted_meat,0.01
"Chardonnay, Columbia Valley, Washington, USA",reductive,0.00
"Tempranillo, Castilla-La Mancha, Central Spain, Spain",bacon,0.01
"Pinot Noir, Alsace, France",funky,0.00
"Red Blends, Red Blends, Maipo Valley, Central Valley, Chile",cassis,0.01
"Tempranillo Blend, Tempranillo, Castilla and Leon, Northwest Spain, Spain",sulfur,0.01
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",mint,0.01
"Pinot Noir, Cote de Beaune, Burgundy, France",tar,0.00
"Bordeaux-style Red Blend, Southwest France, France",herb,0.00
"Red Blends, Red Blends, Southwest France, France",pepper,0.00
"Syrah, Santa Barbara, Central Coast, California, USA",stemmy,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",jasmine,0.01
"Red Blends, Red Blends, Paso Robles, Central Coast, California, USA",black_cherry,0.01
"Pinot Grigio, Marlborough, New Zealand",juicy,0.01
"Gamay, Beaujolais, France",mint,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",grapefruit_pith,0.01
"Chardonnay, Colchagua Valley, Central Valley, Chile",flower,0.01
"Zinfandel, Mendocino, North Coast, California, USA",rose,0.01
"Syrah, South Australia, Australia",fruit-forward,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",black_tea,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",funky,0.01
"Merlot, Mendoza, Argentina",strawberry,0.01
"Glera, Italian White, Veneto, Northeast Italy, Italy",bread_crust,0.00
"Red Blends, Red Blends, Colchagua Valley, Central Valley, Chile",sappy,0.00
"Grenache, Aragon, Northeast Spain, Spain",black_fruit,0.01
"Nerello Mascalese, Italian Red, Sicily, Southern Italy, Italy",coffee,0.01
"Sauvignon Blanc, Coastal Region, South Africa",lime_pith,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",metal,0.00
"Riesling, Rheinhessen, Germany",honeydew,0.01
"White Blend, La Rioja, Northeast Spain, Spain",almond,0.01
"Merlot, Sonoma Valley, North Coast, California, USA",blackberry,0.01
"Pinot Noir, Mendoza, Argentina",lettuce,0.01
"Chardonnay, Long Island, New York, USA",orange_peel,0.00
"White Blend, Sicily, Southern Italy, Italy",grilled_herbs,0.01
"Red Blends, Red Blends, Castilla and Leon, Northwest Spain, Spain",dust,0.01
"Grenache, Navarra, Northeast Spain, Spain",gummy,0.01
"White Blend, Tuscany, Central Italy, Italy",pastry,0.01
"Chardonnay, Finger Lakes, New York, USA",steel,0.00
"Grenache, Santa Barbara, Central Coast, California, USA",wood,0.01
"Riesling, Pfalz, Germany",tangerine,0.00
"Red Blends, Red Blends, Murcia, Northeast Spain, Spain",burnt,0.01
"Viognier, Santa Barbara, Central Coast, California, USA",caramel,0.01
"Cabernet Franc, Mendoza, Argentina",feral,0.01
"Sauvignon Blanc, Steiermark, Austria",clay,0.01
"Red Blends, Red Blends, Veneto, Northeast Italy, Italy",yeast,0.00
"Red Blends, Red Blends, Navarra, Northeast Spain, Spain",reedy,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",boysenberry,0.01
"White Blend, Catalunya, Northeast Spain, Spain",funky,0.01
"Bordeaux-style Red Blend, Virginia, USA",olive,0.01
"Chardonnay, Monterey, Central Coast, California, USA",toasted_almond,0.01
"Chardonnay, Western Australia, Australia",savory,0.01
"Riesling, Willamette Valley, Oregon, USA",mango,0.00
"Red Blends, Red Blends, Catalunya, Northeast Spain, Spain",leafy,0.00
"Bordeaux-style Red Blend, Graves, Bordeaux, France",flower,0.00
"Merlot, Maipo Valley, Central Valley, Chile",bell_pepper,0.01
"Red Blends, Red Blends, Aragon, Northeast Spain, Spain",apple,0.01
"Chardonnay, Chablis, Burgundy, France",orange,0.00
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",pepper,0.01
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",butterscotch,0.01
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",coffee,0.01
"Tinto del Pais, Tempranillo, Castilla and Leon, Northwest Spain, Spain",tobacco,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",tree_bark,0.01
"Syrah, Maipo Valley, Central Valley, Chile",strawberry,0.01
"Pinot Noir, Wairarapa, New Zealand",overripe,0.01
"Merlot, Napa Valley, North Coast, California, USA",red_fruit,0.00
"Riesling, Niederosterreich, Austria",mandarin,0.01
"Riesling, Alsace, France",almond,0.01
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",bramble,0.01
"Red Blends, Red Blends, Sicily, Southern Italy, Italy",menthol,0.00
"Zinfandel, Inland Valleys, California, USA",matchstick,0.00
"Chardonnay, Victoria, Australia",flint,0.01
"Aglianico, Italian Red, Campania, Southern Italy, Italy",incense,0.00
"Syrah, Victoria, Australia",cinnamon,0.01
"Chardonnay, South Australia, Australia",custard,0.00
"Sauvignon Blanc, Mendoza, Argentina",tree_fruit,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",jam,0.01
"Sangiovese, Tuscany, Central Italy, Italy",stewed_prune,0.00
"Red Blends, Red Blends, Napa Valley, North Coast, California, USA",strawberry,0.00
"Malbec, Patagonia, Argentina",leather,0.01
"Tinta de Toro, Tempranillo, Castilla and Leon, Northwest Spain, Spain",stalky,0.01
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",raspberry,0.01
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",grass,0.01
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",bell_pepper,0.01
"Pinot Grigio, Columbia Valley, Washington, USA",dust,0.00
"Tempranillo Blend, Tempranillo, La Rioja, Northeast Spain, Spain",compost,0.00
"Tempranillo, La Rioja, Northeast Spain, Spain",cedar,0.01
"Pinot Noir, Cote de Nuits, Burgundy, France",pepper,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",french_oak,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",leather,0.00
"Viognier, Columbia Valley, Washington, USA",reductive,0.00
"Red Blends, Red Blends, Columbia Valley, Washington, USA",tire_rubber,0.00
"Garganega, Italian White, Veneto, Northeast Italy, Italy",nectarine,0.01
"Chardonnay, Coastal Region, South Africa",plum,0.01
"Chardonnay, Maconnais, Burgundy, France",metal,0.00
"Petite Sirah, Sierra Foothills, California, USA",inky,0.01
"Nero dAvola, Italian Red, Sicily, Southern Italy, Italy",rose_violet,0.00
"Merlot, Paso Robles, Central Coast, California, USA",reductive,0.01
"Syrah, Mendoza, Argentina",cola,0.01
"Bordeaux-style Red Blend, Bourg & Blaye, Bordeaux, France",nectar,0.00
